Comapny Name,Total ESG Risk Score,Environmental Risk Score,Social Risk Score,Governance Risk Score,Controversy Level
"Agilent Technologies, Inc. (A)",14,1.1,6.4,6.1,2
Alcoa Corporation (AA),24,13.8,5.9,4.3,3
American Airlines Group Inc. (AAL),26,9.9,11.6,4.8,2
"Advance Auto Parts, Inc. (AAP)",12,0.1,8.3,3.1,2
Apple Inc. (AAPL),17,0.5,7.4,9.4,3
AbbVie Inc. (ABBV),30,2.4,17.2,10.4,3
Abbott Laboratories (ABT),25,2.3,14.2,8.3,3
Arch Capital Group Ltd. (ACGL),22,1.5,10.1,10.9,2
AECOM (ACM),29,11.1,12.2,6.2,2
Accenture plc (ACN),10,0.8,4.6,4.4,2
Adobe Inc. (ADBE),13,1.9,6.0,5.2,2
"Analog Devices, Inc. (ADI)",23,9.3,6.7,7.0,1
Archer-Daniels-Midland Company (ADM),32,16.6,10.1,5.0,3
"Automatic Data Processing, Inc. (ADP)",14,2.8,5.5,5.5,1
"Autodesk, Inc. (ADSK)",17,3.7,8.2,4.9,0
Ameren Corporation (AEE),27,12.9,9.1,5.3,2
Agnico Eagle Mines Limited (AEM),21,8.8,7.4,5.2,2
"American Electric Power Company, Inc. (AEP)",26,12.7,8.1,5.4,2
AerCap Holdings N.V. (AER),20,5.3,8.2,6.6,0
The AES Corporation (AES),27,13.3,8.2,5.3,2
"American Financial Group, Inc. (AFG)",28,2.5,12.3,13.1,1
Aflac Incorporated (AFL),18,0.3,9.1,8.9,1
AGNC Investment Corp. (AGNC),16,7.0,3.3,5.8,0
"American International Group, Inc. (AIG)",24,1.6,9.7,12.9,2
Apartment Investment and Management Company (AIV),20,,,,0
"Assurant, Inc. (AIZ)",24,1.6,10.8,11.7,2
Arthur J. Gallagher & Co. (AJG),21,0.1,10.9,10.1,2
"Akamai Technologies, Inc. (AKAM)",17,3.0,7.1,6.9,1
Albemarle Corporation (ALB),27,15.4,4.8,6.3,2
Alkermes plc (ALKS),25,1.4,15.6,7.5,1
The Allstate Corporation (ALL),22,1.0,10.1,10.9,2
Allegion plc (ALLE),22,10.9,5.8,5.0,0
Ally Financial Inc. (ALLY),23,0.1,11.8,11.0,2
"Autoliv, Inc. (ALV)",17,4.9,5.1,7.1,3
"Applied Materials, Inc. (AMAT)",13,4.5,3.0,5.3,1
"AMETEK, Inc. (AME)",24,8.6,8.5,6.7,1
"Affiliated Managers Group, Inc. (AMG)",22,2.1,7.9,11.5,1
Amgen Inc. (AMGN),22,0.7,13.5,7.8,3
"Ameriprise Financial, Inc. (AMP)",20,2.1,7.8,10.3,2
American Tower Corporation (AMT),11,2.9,2.8,5.2,1
"Amazon.com, Inc. (AMZN)",31,6.0,15.4,9.2,3
"Arista Networks, Inc. (ANET)",17,0.4,8.9,7.4,1
"ANSYS, Inc. (ANSS)",16,3.5,7.3,5.1,0
A. O. Smith Corporation (AOS),25,7.2,11.9,6.4,1
APA Corporation (APA),39,22.0,8.9,8.0,2
"Air Products and Chemicals, Inc. (APD)",12,7.4,1.5,3.3,1
Amphenol Corporation (APH),20,7.3,4.6,7.6,2
Aptiv PLC (APTV),11,1.5,3.9,5.3,1
Antero Resources Corporation (AR),36,,,,1
"Alexandria Real Estate Equities, Inc. (ARE)",14,3.9,3.7,6.3,0
Aramark (ARMK),24,8.1,10.9,4.8,2
"Arrow Electronics, Inc. (ARW)",9,2.5,3.0,4.0,0
Ashland Inc. (ASH),32,19.0,7.2,6.2,2
Atmos Energy Corporation (ATO),35,14.8,13.4,6.4,2
"AvalonBay Communities, Inc. (AVB)",10,3.0,2.0,4.8,1
Broadcom Inc. (AVGO),20,7.3,6.0,6.6,3
"Avnet, Inc. (AVT)",8,2.1,2.7,3.4,2
Avery Dennison Corporation (AVY),16,11.4,0.9,3.7,1
"American Water Works Company, Inc. (AWK)",22,9.0,7.6,5.0,1
American Express Company (AXP),19,0.1,8.9,9.7,2
AXIS Capital Holdings Limited (AXS),24,1.7,10.5,11.8,2
Axalta Coating Systems Ltd. (AXTA),27,14.9,7.4,4.8,0
"Acuity Brands, Inc. (AYI)",19,5.2,9.2,5.0,2
"AutoZone, Inc. (AZO)",11,0.1,7.1,3.8,2
The Boeing Company (BA),40,8.8,22.5,8.3,4
Bank of America Corporation (BAC),28,1.7,15.1,11.5,3
Booz Allen Hamilton Holding Corporation (BAH),17,1.3,9.1,6.6,2
Ball Corporation (BALL),12,7.6,0.8,3.7,2
Brookfield Asset Management Ltd. (BAM),18,0.4,8.6,9.0,1
Credicorp Ltd. (BAP),22,2.0,10.1,10.0,2
Baxter International Inc. (BAX),24,2.8,13.6,7.1,3
